model_name,organization,parameters_b,average_score,benchmark_ifeval,benchmark_bbh,benchmark_math_lvl5,benchmark_gpqa,benchmark_musr,benchmark_mmlu_pro,license,release_date,co2_cost_kg,model_type
EpistemeAI2/Fireball-Phi-3-medium-4k-inst-Philos,EpistemeAI2,13.96,29.67636693004503,53.128809337003595,46.20887281141656,17.069486404833835,10.96196868008949,10.704947916666669,39.984116430260045,apache-2.0,2024-09-19,1.5436275349185773,"💬 chat models (RLHF, DPO, IFT, ...)"
Eric111/CatunaMayo,Eric111,7.242,21.27397881040676,40.741565712310006,33.299425909067885,8.459214501510575,5.592841163310966,15.348697916666667,24.202127659574465,apache-2.0,2024-02-15,1.1016492560543947,🔶 fine-tuned on domain-specific datasets
Eric111/CatunaMayo-DPO,Eric111,7.242,21.292884967568227,42.14539643700936,33.08995159999345,8.157099697885197,5.592841163310966,14.662239583333337,24.109781323877066,apache-2.0,2024-02-21,1.1080452807347074,🔶 fine-tuned on domain-specific datasets
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties,Etherll,3.821,24.981820729952233,37.24694920588483,35.58334267696659,16.314199395770395,9.843400447427292,17.817187499999996,33.08584515366431,,,1.2709938613196208,🔶 fine-tuned on domain-specific datasets
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties-v2,Etherll,3.821,25.0072163099762,37.399322686028626,35.58334267696659,16.314199395770395,9.843400447427292,17.817187499999996,33.08584515366431,,,1.2625910778696097,🔶 fine-tuned on domain-specific datasets
Etherll/Herplete-LLM-Llama-3.1-8b,Etherll,8.03,19.58870802333299,46.71914963408201,28.952590926070883,2.794561933534743,4.809843400447425,6.6833333333333345,27.57276891252955,,2024-08-24,0.9736847295609784,🔶 fine-tuned on domain-specific datasets
Etherll/Herplete-LLM-Llama-3.1-8b-Ties,Etherll,8.03,26.53329128692283,61.63679038285083,33.07089034564546,16.012084592145015,8.948545861297541,8.948177083333329,30.583259456264773,,2024-10-03,1.7244029419033515,🔶 fine-tuned on domain-specific datasets
Etherll/Qwen2.5-7B-della-test,Etherll,7.616,35.81656745139639,76.24968417133206,35.54689390845198,48.94259818731118,7.829977628635347,8.987239583333334,37.34301122931442,,2024-11-01,2.084641406728251,🤝 base merges and moerges
Etherll/Qwen2.5-Coder-7B-Instruct-Ties,Etherll,7.616,26.513720070911546,50.05385709916355,28.008294264156472,29.154078549848943,10.626398210290827,13.426822916666667,27.812869385342786,,2024-09-30,2.394362523519261,🔶 fine-tuned on domain-specific datasets
Etherll/Replete-LLM-V3-Llama-3.1-8b,Etherll,8.03,21.70431724543067,52.629245956284876,22.902455222412783,22.734138972809667,2.460850111856823,2.0557291666666675,27.44348404255319,,2024-08-24,1.5786586422846098,🔶 fine-tuned on domain-specific datasets
Etherll/SuperHermes,Etherll,8.03,26.91930524281158,54.590154124389954,32.84031674117277,16.540785498489427,9.843400447427292,14.938541666666666,32.7626329787234,,2024-10-27,1.500030829605098,🔶 fine-tuned on domain-specific datasets
Eurdem/Defne-llama3.1-8B,Eurdem,8.03,25.120605411030215,50.36115285220991,32.822381370434904,16.012084592145015,6.152125279642054,13.536718749999999,31.839169621749413,llama3.1,2024-07-29,2.6645961851911526,🔶 fine-tuned on domain-specific datasets
FINGU-AI/Chocolatine-Fusion-14B,FINGU-AI,8.367,40.36155927006158,69.49028577507679,48.600901490542746,38.51963746223565,16.21923937360179,21.985937499999995,47.35335401891253,mit,2025-02-02,3.778182731900417,🤝 base merges and moerges
FINGU-AI/L3-8B,FINGU-AI,8.03,28.91453457774598,75.17309627344335,28.805821240438444,25.45317220543807,6.040268456375841,8.687500000000002,29.32734929078014,llama3.1,2025-01-18,1.4241896674664711,🤝 base merges and moerges
FINGU-AI/Phi-4-RRStock,FINGU-AI,6.652,26.415394122718638,28.554125276488605,48.68220452265962,5.81570996978852,17.337807606263986,14.960156250000002,43.14236111111111,mit,2025-02-05,2.73031594302183,🤝 base merges and moerges
FINGU-AI/Q-Small-3B,FINGU-AI,3.086,16.89041454501282,41.45345461154182,21.386476977673595,8.308157099697885,2.2371364653243813,8.067708333333334,19.889553782505907,apache-2.0,2025-01-21,1.4546580986103825,🤝 base merges and moerges
FINGU-AI/QwQ-Buddy-32B-Alpha,FINGU-AI,19.662,35.1782720586928,34.46422159869147,48.730953196766194,38.51963746223565,17.225950782997764,24.41536458333333,47.71350472813239,mit,2025-02-05,11.118192684812248,🤝 base merges and moerges
